Merchant_Category,Buyer_Category,Departments,Volume,Revenue,Transaction_Count,Average selling price,date
High Volume,One-And-Done,Books,80590066,2555101.72,842654,95.64,11-10-2014 00:00
Very Low Volume,Low Engaged,Sports And Outdoors,886178,30851.12,10562,83.9,28-11-2014 00:00
Non Merchant,Getting Engaged,Clothing And Shoes,8961550,278731.87,41669,215.07,24-02-2014 00:00
Non Merchant,Casual Buyer,"Movies, Music And Games",113170653,3154544.74,702868,161.01,17-05-2014 00:00
Inactive Merchant,New,Electronics And Computers,0,0,13,0,22-05-2014 00:00
New,Very Engaged,Digital Games And Software,3274007,111593.39,63386,51.65,11-07-2014 00:00
Medium Volume,Merchant,Home And Garden,6885795,239692.2,113825,60.49,23-07-2014 00:00
Medium Volume,Guest,Other,26,0.65,1,26.21,18-05-2014 00:00
Very High Volume,Very Engaged,Clothing And Shoes,830942,22032.5,1646,504.82,07-03-2014 00:00
New,Guest,Home And Garden,1517633,51616.98,21325,71.17,22-07-2014 00:00
Medium Volume,Low Engaged,Automotive,73548,2392.52,1119,65.73,22-07-2014 00:00
Very High Volume,New,Clothing And Shoes,508352,16260.52,1019,498.87,06-12-2014 00:00
Non Merchant,Medium Engaged,"Movies, Music And Games",213279466,5946516.92,1695884,125.76,19-10-2014 00:00
Very High Volume,Very Engaged,Sports And Outdoors,3748379,104844.88,12435,301.44,13-05-2014 00:00
Low Volume,Getting Engaged,"Movies, Music And Games",53335907,1789147.38,371416,143.6,27-09-2014 00:00
Medium Volume,Low Engaged,Books,626640371,24379667.14,12241177,51.19,10-01-2014 00:00
Very Low Volume,Merchant,Digital Games And Software,3284266,141020.49,185140,17.74,07-05-2014 00:00
Very High Volume,New,"Movies, Music And Games",3251541,109833.16,23130,140.58,26-07-2014 00:00
Medium Volume,Merchant,Digital Games And Software,96514027,3619321.23,1655196,58.31,20-10-2014 00:00
Low Volume,New,Digital Games And Software,57670610,2243579.74,1145358,50.35,11-11-2014 00:00
High Volume,Getting Engaged,Electronics And Computers,10238484,331353.23,169366,60.45,15-08-2014 00:00
Unverified Merchant,Very Engaged,"Movies, Music And Games",3872,35.07,49,79.01,22-08-2014 00:00
High Volume,Getting Engaged,Books,661500445,21934338.87,8972010,73.73,17-04-2014 00:00
Medium Volume,One-And-Done,Clothing And Shoes,3848095,123893.64,11325,339.79,26-08-2014 00:00
Non Merchant,Guest,Grocery,6705,198.66,20,335.25,06-12-2014 00:00
Medium Volume,One-And-Done,Sports And Outdoors,7457816,236434.55,24280,307.16,03-11-2014 00:00
Low Volume,Merchant,Books,246786740,9787519.11,6650254,37.11,17-05-2014 00:00
Inactive Merchant,Getting Engaged,Books,32807,1109.12,604,54.32,21-11-2014 00:00
Unverified Merchant,New,"Movies, Music And Games",2696,74.9,29,92.97,11-10-2014 00:00
Unverified Merchant,New,Sports And Outdoors,157,4.85,1,157,27-02-2014 00:00
Very Low Volume,Merchant,Books,8479263,319911.35,254262,33.35,22-04-2014 00:00
Non Merchant,Very Engaged,"Movies, Music And Games",132990799,3961603.04,1222398,108.8,08-05-2014 00:00
New,Guest,"Movies, Music And Games",0,0,912,0,05-04-2014 00:00
Low Volume,Very Engaged,Clothing And Shoes,4629758,167843.53,44613,103.78,02-01-2014 00:00
Very Low Volume,Guest,"Movies, Music And Games",22501,1030.94,1364,16.5,16-04-2014 00:00
Very Low Volume,Low Engaged,"Movies, Music And Games",4049501,142119.25,58811,68.86,28-10-2014 00:00
High Volume,Medium Engaged,Other,1276129,43178.09,86306,14.79,15-02-2014 00:00
Unverified Merchant,Merchant,Digital Games And Software,480,11.68,15,31.98,21-07-2014 00:00
Non Merchant,Very Engaged,Automotive,258858,7128.18,3603,71.85,07-10-2014 00:00
Inactive Merchant,Merchant,Digital Games And Software,8937,328.04,1453,6.15,23-12-2014 00:00
New,New,Automotive,9765,280.31,89,109.72,16-07-2014 00:00
Very Low Volume,Casual Buyer,Clothing And Shoes,632604,20928.4,5852,108.1,08-07-2014 00:00
High Volume,One-And-Done,Home And Garden,3294646,101378.18,50041,65.84,21-03-2014 00:00
Inactive Merchant,One-And-Done,Clothing And Shoes,1067,16.95,14,76.21,01-12-2014 00:00
Medium Volume,Casual Buyer,Electronics And Computers,1577738,58925.91,30929,51.01,25-02-2014 00:00
Very Low Volume,Very Engaged,Other,269,12.57,197,1.37,08-07-2014 00:00
Non Merchant,Merchant,Sports And Outdoors,56399073,1626898.72,231857,243.25,26-03-2014 00:00
Very High Volume,Casual Buyer,Digital Games And Software,41468090,1253241.8,628993,65.93,17-12-2014 00:00
New,New,Electronics And Computers,190475,6445.22,3160,60.28,02-08-2014 00:00
Low Volume,Getting Engaged,Electronics And Computers,921142,36201.18,24071,38.27,08-09-2014 00:00
Very High Volume,One-And-Done,Electronics And Computers,1220488,35510.45,29025,42.05,15-02-2014 00:00
Medium Volume,One-And-Done,Home And Garden,1410532,49935.62,23129,60.99,26-03-2014 00:00
Very Low Volume,Casual Buyer,"Movies, Music And Games",2826209,97848.4,33553,84.23,22-08-2014 00:00
Inactive Merchant,Low Engaged,Clothing And Shoes,2725,44.16,17,160.29,18-09-2014 00:00
High Volume,Medium Engaged,Electronics And Computers,8131047,260898.76,138582,58.67,11-10-2014 00:00
Very Low Volume,New,Other,109,12.23,694,0.16,20-08-2014 00:00
Very Low Volume,Guest,Sports And Outdoors,13580,338.31,314,43.25,17-12-2014 00:00
Medium Volume,Getting Engaged,Digital Games And Software,131531618,4960636.58,2408286,54.62,27-07-2014 00:00
Low Volume,Casual Buyer,Digital Games And Software,49709916,1853698.41,980762,50.68,15-09-2014 00:00
Very Low Volume,One-And-Done,Home And Garden,43038,1632.16,1157,37.2,24-03-2014 00:00
Very Low Volume,Low Engaged,Electronics And Computers,29219,1226.05,1183,24.7,15-08-2014 00:00
Very Low Volume,New,"Movies, Music And Games",3354804,118067.52,49119,68.3,25-05-2014 00:00
Inactive Merchant,New,Home And Garden,0,15.78,53,0,27-04-2014 00:00
Non Merchant,Super Engaged,Clothing And Shoes,3851400,130982.57,31674,121.6,09-11-2014 00:00
Very High Volume,Very Engaged,Home And Garden,73205788,1603960.38,913719,80.12,16-09-2014 00:00
New,Medium Engaged,Clothing And Shoes,1094366,35103.42,4022,272.09,08-11-2014 00:00
Unverified Merchant,One-And-Done,Automotive,0,0,1,0,15-05-2014 00:00
Low Volume,Low Engaged,"Movies, Music And Games",49709610,1683537.75,410789,121.01,23-02-2014 00:00
New,Guest,Digital Games And Software,75923035,2134553.16,742256,102.29,08-05-2014 00:00
Very High Volume,Casual Buyer,Other,4664778,138157.61,260952,17.88,11-05-2014 00:00
Very Low Volume,Guest,Electronics And Computers,68,4.62,30,2.28,18-06-2014 00:00
Very Low Volume,Casual Buyer,Home And Garden,139886,5333.77,3575,39.13,05-02-2014 00:00
High Volume,Guest,Clothing And Shoes,3172128,94967.55,9848,322.11,08-03-2014 00:00
Inactive Merchant,Very Engaged,Home And Garden,11,0.62,11,0.99,23-07-2014 00:00
New,Merchant,Other,76145,2756.07,3873,19.66,23-03-2014 00:00
Very High Volume,Medium Engaged,Clothing And Shoes,1135367,31613.12,2315,490.44,03-04-2014 00:00
Medium Volume,New,Digital Games And Software,82304853,3208337.2,1354392,60.77,14-07-2014 00:00
Low Volume,Casual Buyer,Sports And Outdoors,16866949,540567.12,70662,238.7,18-06-2014 00:00
High Volume,One-And-Done,Electronics And Computers,952715,31792.22,15103,63.08,14-08-2014 00:00
New,Merchant,Sports And Outdoors,8275276,247796.32,12561,658.81,07-01-2014 00:00
Inactive Merchant,New,Books,16675,764.79,595,28.02,13-07-2014 00:00
Non Merchant,Merchant,"Toys, Kids And Baby",139450040,814746.25,3645740,38.25,23-10-2014 00:00
Medium Volume,Medium Engaged,Other,167830,5011.49,9358,17.93,28-01-2014 00:00
Inactive Merchant,Medium Engaged,Electronics And Computers,4,0.42,7,0.59,13-10-2014 00:00
Low Volume,Low Engaged,Sports And Outdoors,16572426,575121.26,128899,128.57,01-08-2014 00:00
High Volume,Merchant,Clothing And Shoes,41627478,1179293.4,52686,790.11,10-06-2014 00:00
Unverified Merchant,Low Engaged,"Movies, Music And Games",6151,87.4,81,75.93,28-07-2014 00:00
Non Merchant,Merchant,Clothing And Shoes,20197016,576144.98,74914,269.6,18-07-2014 00:00
High Volume,Very Engaged,Digital Games And Software,67311613,2469334.85,1381910,48.71,24-12-2014 00:00
High Volume,Casual Buyer,Clothing And Shoes,5205613,159503.7,14851,350.52,26-09-2014 00:00
Low Volume,Guest,Automotive,75,2.48,1,75,08-10-2014 00:00
High Volume,One-And-Done,"Movies, Music And Games",4012945,131241.97,20222,198.44,08-08-2014 00:00
Low Volume,One-And-Done,Books,22475181,857412.71,496925,45.23,14-05-2014 00:00
New,One-And-Done,"Movies, Music And Games",1590418,47113.4,6874,231.37,01-08-2014 00:00
Unverified Merchant,Super Engaged,Digital Games And Software,258,10.47,10,25.79,11-07-2014 00:00
Low Volume,Very Engaged,Home And Garden,1790741,66886.59,34576,51.79,22-11-2014 00:00
Non Merchant,Guest,Sports And Outdoors,16607341,537608.73,81760,203.12,24-07-2014 00:00
Low Volume,New,"Movies, Music And Games",34979308,1203270.26,231504,151.1,27-03-2014 00:00
Unverified Merchant,Super Engaged,"Movies, Music And Games",1096,13.64,24,45.66,05-08-2014 00:00
Low Volume,One-And-Done,"Movies, Music And Games",8747317,284537.23,47283,185,18-10-2014 00:00
Unverified Merchant,Casual Buyer,"Movies, Music And Games",9750,192.77,49,198.97,13-01-2014 00:00
High Volume,One-And-Done,Other,75357,2391.81,6574,11.46,19-10-2014 00:00
Non Merchant,Guest,"Movies, Music And Games",9221,177.81,4817,1.91,01-11-2014 00:00
Unverified Merchant,Guest,Grocery,125,4.23,2,62.5,21-02-2014 00:00
Unverified Merchant,Casual Buyer,Books,5038,164.04,58,86.87,05-07-2014 00:00
New,Guest,Books,2173609,79276.88,33992,63.94,06-08-2014 00:00
Medium Volume,Medium Engaged,Sports And Outdoors,33325419,1165309.41,193746,172.01,09-01-2014 00:00
Low Volume,Guest,Sports And Outdoors,29899832,940784.88,113191,264.15,11-07-2014 00:00
New,Casual Buyer,Sports And Outdoors,2661008,81471.79,6964,382.11,15-04-2014 00:00
Very Low Volume,Super Engaged,Home And Garden,49639,1913.07,553966,0.09,11-06-2014 00:00
Medium Volume,Merchant,Electronics And Computers,2137013,76827.99,35254,60.62,09-07-2014 00:00
Non Merchant,Merchant,Digital Games And Software,12289017,458397.37,315404,38.96,09-07-2014 00:00
Very Low Volume,Very Engaged,Clothing And Shoes,236419,8348.72,3353,70.51,16-02-2014 00:00
Very High Volume,Guest,Other,2451,65.27,319,7.68,24-01-2014 00:00
Inactive Merchant,Merchant,Sports And Outdoors,25877,272.86,152,170.24,02-09-2014 00:00
New,Medium Engaged,Other,157011,6017.6,8737,17.97,08-06-2014 00:00
Very High Volume,Guest,Other,1362,435.89,17458,0.08,03-11-2014 00:00
Inactive Merchant,Medium Engaged,Digital Games And Software,2129,143.83,413,5.15,02-11-2014 00:00
Medium Volume,Casual Buyer,Clothing And Shoes,9925124,323855.53,31683,313.26,08-01-2014 00:00
High Volume,New,Other,412577,16002.81,48799,8.45,27-04-2014 00:00
Very Low Volume,Medium Engaged,"Movies, Music And Games",3293353,116847.98,52666,62.53,20-01-2014 00:00
Inactive Merchant,Super Engaged,Automotive,20,0.89,1,20.46,08-03-2014 00:00
High Volume,Merchant,Books,527180832,16200506.1,5298493,99.5,16-03-2014 00:00
Very High Volume,Guest,"Movies, Music And Games",7,0.43,56,0.12,04-11-2014 00:00
Medium Volume,New,Books,351120724,14237514.1,6784210,51.76,07-10-2014 00:00
Inactive Merchant,Low Engaged,Books,30368,1272.06,621,48.9,23-08-2014 00:00
Inactive Merchant,Casual Buyer,Sports And Outdoors,-2089,34.59,68,-30.72,25-05-2014 00:00
Medium Volume,Merchant,"Movies, Music And Games",388521909,10583592.08,962230,403.77,06-06-2014 00:00
Very Low Volume,Merchant,Sports And Outdoors,1859545,60826.48,17937,103.67,20-10-2014 00:00
Low Volume,Super Engaged,Clothing And Shoes,3283104,121983.12,40574,80.92,23-12-2014 00:00
Inactive Merchant,Getting Engaged,Automotive,0,0,1,0,25-02-2014 00:00
Medium Volume,Merchant,Other,215872,8778.18,12532,17.23,10-03-2014 00:00
High Volume,Medium Engaged,Books,688858185,23193059.23,10459432,65.86,19-02-2014 00:00
Medium Volume,Very Engaged,"Movies, Music And Games",62202596,2148533.32,364726,170.55,10-01-2014 00:00
Very High Volume,Getting Engaged,Clothing And Shoes,1117549,30050.24,2268,492.75,22-10-2014 00:00
Inactive Merchant,Low Engaged,Home And Garden,-16,2.3,36,-0.44,13-07-2014 00:00
Very High Volume,Very Engaged,Digital Games And Software,57890618,1940918.08,1249085,46.35,07-12-2014 00:00
High Volume,Casual Buyer,Other,461966,14308.29,35672,12.95,19-02-2014 00:00
High Volume,Low Engaged,"Movies, Music And Games",33937539,1140635.33,197755,171.61,27-12-2014 00:00
Very High Volume,Merchant,Automotive,5739,141.51,96,59.78,08-11-2014 00:00
New,Merchant,Home And Garden,2394519,52598.91,28747,83.3,23-02-2014 00:00
High Volume,Super Engaged,Home And Garden,7823184,236448.22,134213,58.29,28-05-2014 00:00
High Volume,Guest,Sports And Outdoors,4772066,152541.48,18920,252.22,20-11-2014 00:00
New,Getting Engaged,Clothing And Shoes,2354755,73221.49,6778,347.41,26-02-2014 00:00
Low Volume,One-And-Done,Automotive,1834,65.31,40,45.86,26-10-2014 00:00
Non Merchant,One-And-Done,Clothing And Shoes,2129676,67198.67,8408,253.29,12-01-2014 00:00
New,Merchant,Electronics And Computers,171983,5743.81,3019,56.97,14-09-2014 00:00
Non Merchant,Guest,Sports And Outdoors,131617,4145.22,2948,44.65,12-11-2014 00:00
High Volume,Merchant,Sports And Outdoors,101427503,3019198.8,157692,643.2,17-02-2014 00:00
Medium Volume,Merchant,Sports And Outdoors,108648270,3371852.57,258623,420.1,11-11-2014 00:00
Medium Volume,Very Engaged,Electronics And Computers,1724891,65595.24,36776,46.9,28-01-2014 00:00
High Volume,Guest,Sports And Outdoors,87543,1815.98,833,105.09,27-07-2014 00:00
Medium Volume,Merchant,Clothing And Shoes,44716591,1371112.57,93924,476.09,04-08-2014 00:00
High Volume,Very Engaged,Home And Garden,15736818,470293.92,268671,58.57,12-07-2014 00:00
Very High Volume,Guest,Digital Games And Software,89737,7856.61,29640,3.03,27-11-2014 00:00
Very High Volume,Merchant,"Movies, Music And Games",72032051,1457193.7,73436,980.88,23-08-2014 00:00
Low Volume,Medium Engaged,Books,320374220,13872488.69,11164099,28.7,14-03-2014 00:00
Inactive Merchant,New,"Movies, Music And Games",33385,797.06,851,39.23,24-03-2014 00:00
High Volume,Casual Buyer,Electronics And Computers,4519279,147594.97,72200,62.59,21-09-2014 00:00
Low Volume,Getting Engaged,Home And Garden,4651476,173338.33,87525,53.14,20-05-2014 00:00
High Volume,Super Engaged,Automotive,15979,484.07,287,55.68,25-09-2014 00:00
Medium Volume,New,Clothing And Shoes,9914860,339766.38,35277,281.06,15-08-2014 00:00
High Volume,Merchant,Digital Games And Software,143260675,4943603.26,2117986,67.64,27-07-2014 00:00
High Volume,Very Engaged,Other,759404,27333.23,50514,15.03,19-12-2014 00:00
Very High Volume,Medium Engaged,Automotive,15454,382.33,261,59.21,11-05-2014 00:00
Non Merchant,Casual Buyer,Clothing And Shoes,5482910,172110.56,22307,245.79,27-04-2014 00:00
Very Low Volume,Getting Engaged,Sports And Outdoors,1244062,42968.46,13649,91.15,09-02-2014 00:00
Medium Volume,Super Engaged,"Movies, Music And Games",44419199,1597559.4,325617,136.42,08-08-2014 00:00
Very Low Volume,One-And-Done,Automotive,1189,34.21,22,54.05,19-08-2014 00:00
Non Merchant,Casual Buyer,Sports And Outdoors,21012848,658385.21,97143,216.31,22-10-2014 00:00
Medium Volume,One-And-Done,Other,14794,509.42,1217,12.16,11-07-2014 00:00
Very High Volume,Guest,Books,30341181,773086.22,268346,113.07,16-01-2014 00:00
Non Merchant,Very Engaged,Books,591370934,22083475.66,11370640,52.01,06-06-2014 00:00
New,Guest,Digital Games And Software,64480,2125.05,4489,14.36,07-08-2014 00:00
Low Volume,Guest,Grocery,167999441,5261065.26,837576,200.58,26-06-2014 00:00
Low Volume,Low Engaged,Clothing And Shoes,9029857,303939.05,59727,151.19,11-05-2014 00:00
Non Merchant,Guest,Clothing And Shoes,5760831,183394.93,24854,231.79,20-05-2014 00:00
Low Volume,Casual Buyer,Books,88852057,3548807.11,2297263,38.68,09-12-2014 00:00
Very Low Volume,Very Engaged,Electronics And Computers,12536,529.35,653,19.2,01-09-2014 00:00
Very High Volume,Getting Engaged,Books,302596502,8374679.3,3674020,82.36,07-09-2014 00:00
High Volume,Medium Engaged,Home And Garden,27265626,817223.97,471167,57.87,08-02-2014 00:00
New,Low Engaged,Sports And Outdoors,2174296,69975.71,8301,261.93,14-12-2014 00:00
Very Low Volume,Merchant,Clothing And Shoes,1013703,33433.61,9768,103.78,18-08-2014 00:00
Low Volume,Guest,Books,407061,16763.08,37541,10.84,23-04-2014 00:00
Inactive Merchant,Guest,Books,1917,98.9,84,22.82,21-08-2014 00:00
New,Low Engaged,Digital Games And Software,9313713,295593.56,155539,59.88,16-12-2014 00:00
Medium Volume,Low Engaged,Digital Games And Software,109326599,4177660.3,2138863,51.11,26-08-2014 00:00
Very High Volume,Super Engaged,Digital Games And Software,38546404,1295395.68,906542,42.52,03-01-2014 00:00
New,Getting Engaged,"Movies, Music And Games",7773719,220389.46,30848,252,08-05-2014 00:00
New,New,Other,64698,2469.33,4032,16.05,23-07-2014 00:00
Medium Volume,Low Engaged,Sports And Outdoors,34152590,1168527.19,182062,187.59,10-04-2014 00:00
Very Low Volume,Merchant,"Movies, Music And Games",11439861,382337.92,170548,67.08,19-11-2014 00:00
Unverified Merchant,Getting Engaged,Digital Games And Software,535,12.53,13,41.12,16-06-2014 00:00
Inactive Merchant,Casual Buyer,"Movies, Music And Games",37242,1045.52,531,70.14,17-09-2014 00:00
Very High Volume,Very Engaged,Books,179376504,5000484.79,2449727,73.22,14-06-2014 00:00
Medium Volume,Casual Buyer,Other,95350,2980.04,5759,16.56,18-12-2014 00:00
High Volume,Very Engaged,Clothing And Shoes,7116688,231286.8,25510,278.98,12-06-2014 00:00
New,Guest,Automotive,0,0,3,0,15-12-2014 00:00
Low Volume,Merchant,"Movies, Music And Games",150373085,4770952.71,928603,161.93,10-05-2014 00:00
Non Merchant,Medium Engaged,Sports And Outdoors,26422859,821893.27,179166,147.48,08-05-2014 00:00
New,Low Engaged,Other,221843,8550.71,12585,17.63,24-02-2014 00:00
Very High Volume,Merchant,Digital Games And Software,125221615,3527350.91,1323500,94.61,11-04-2014 00:00
Non Merchant,Guest,Digital Games And Software,46976634,1647458.07,712979,65.89,24-02-2014 00:00
Very High Volume,Casual Buyer,Books,140092655,3825822.67,1518581,92.25,25-09-2014 00:00
Very Low Volume,Guest,Sports And Outdoors,2420190,79191.67,20553,117.75,06-12-2014 00:00
High Volume,One-And-Done,Clothing And Shoes,1785168,52312.43,4583,389.52,07-04-2014 00:00
Low Volume,Very Engaged,Sports And Outdoors,9796343,362264.5,109957,89.09,16-12-2014 00:00
Very Low Volume,Very Engaged,Sports And Outdoors,414739,15096.56,6289,65.95,24-05-2014 00:00
Low Volume,Casual Buyer,"Movies, Music And Games",29108888,970771.93,168668,172.58,25-10-2014 00:00
Very Low Volume,Merchant,Home And Garden,92321,3581.76,3562,25.92,20-09-2014 00:00
